App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
beam,TestResult.java,C:\Users\publi\Downloads\beam\.test-infra\validate-runner\src\main\java\org\apache\beam\validate\runner\model\TestResult.java,C:\Users\publi\Downloads\beam\sdks\java\io\rrio\src\main\java\org\apache\beam\io\requestresponse\Result.java,validate\runner\model\TestResult.java,io\requestresponse\Result.java,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beam,TestService.java,C:\Users\publi\Downloads\beam\.test-infra\validate-runner\src\main\java\org\apache\beam\validate\runner\service\TestService.java,,validate\runner\service\TestService.java,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
beam,AutoCompleteTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\AutoCompleteTest.java,,examples\complete\AutoCompleteTest.java,,5,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,4,0,0,4,0
beam,DataTokenizationTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\datatokenization\DataTokenizationTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\complete\datatokenization\DataTokenization.java,examples\complete\datatokenization\DataTokenizationTest.java,examples\complete\datatokenization\DataTokenization.java,9,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0
beam,GameStatsTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\game\GameStatsTest.java,,examples\complete\game\GameStatsTest.java,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,2,0,0,2,0
beam,HourlyTeamScoreTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\game\HourlyTeamScoreTest.java,,examples\complete\game\HourlyTeamScoreTest.java,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,2,0,0,2,0
beam,LeaderBoardTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\game\LeaderBoardTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\complete\game\LeaderBoard.java,examples\complete\game\LeaderBoardTest.java,examples\complete\game\LeaderBoard.java,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0
beam,StatefulTeamScoreTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\game\StatefulTeamScoreTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\complete\game\StatefulTeamScore.java,examples\complete\game\StatefulTeamScoreTest.java,examples\complete\game\StatefulTeamScore.java,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
beam,UserScoreTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\game\UserScoreTest.java,,examples\complete\game\UserScoreTest.java,,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,,0,4,0,0,4,0
beam,KafkaToPubsubE2ETest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\kafkatopubsub\KafkaToPubsubE2ETest.java,,examples\complete\kafkatopubsub\KafkaToPubsubE2ETest.java,,4,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
beam,KafkaToPubsubTest.java,C:\Users\publi\Downloads\beam\examples\java\src\test\java\org\apache\beam\examples\complete\kafkatopubsub\KafkaToPubsubTest.java,C:\Users\publi\Downloads\beam\examples\java\src\main\java\org\apache\beam\examples\complete\kafkatopubsub\KafkaToPubsub.java,examples\complete\kafkatopubsub\KafkaToPubsubTest.java,examples\complete\kafkatopubsub\KafkaToPubsub.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
