Language,TestSmell,Precision,Precision_CI_Lower,Precision_CI_Upper,Recall,Recall_CI_Lower,Recall_CI_Upper,F1,F1_CI_Lower,F1_CI_Upper,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper
java,AssertionRoulette,1.0,1.0,1.0,0.9733333333333334,0.9314830669710806,1.0,0.9864864864864865,0.964526251339354,1.0,0.9879518072289156,0.9698795180722891,1.0
java,ConditionalTestLogic,1.0,1.0,1.0,0.9777777777777777,0.9230392156862746,1.0,0.9887640449438202,0.9599795918367346,1.0,0.9939759036144579,0.9819277108433735,1.0
java,DuplicateAssert,0.8285714285714286,0.6922413793103449,0.9411764705882353,1.0,1.0,1.0,0.90625,0.818135435992579,0.9696969696969697,0.963855421686747,0.9337349397590361,0.9879518072289156
java,EmptyTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
java,ExceptionHandling,1.0,1.0,1.0,0.9811320754716981,0.9375,1.0,0.9904761904761905,0.967741935483871,1.0,0.9939759036144579,0.9819277108433735,1.0
java,IgnoredTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
java,MagicNumberTest,0.94,0.8653846153846154,1.0,1.0,1.0,1.0,0.9690721649484536,0.9278350515463918,1.0,0.9819277108433735,0.9578313253012049,1.0
java,RedundantPrint,1.0,1.0,1.0,0.9375,0.84,1.0,0.967741935483871,0.9130434782608695,1.0,0.9879518072289156,0.9698795180722891,1.0
java,SleepyTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
java,UnknownTest,0.96,0.8947368421052632,1.0,1.0,1.0,1.0,0.9795918367346939,0.9444444444444444,1.0,0.9879518072289156,0.9698795180722891,1.0
python,AssertionRoulette,0.9859154929577465,0.953828125,1.0,0.9722222222222222,0.9285499139414802,1.0,0.9790209790209791,0.951048951048951,1.0,0.9819277108433735,0.9578313253012049,1.0
python,ConditionalTestLogic,1.0,1.0,1.0,0.8695652173913043,0.7619047619047619,0.9583333333333334,0.9302325581395349,0.8648648648648649,0.9787234042553191,0.963855421686747,0.9337349397590361,0.9879518072289156
python,DuplicateAssert,0.875,0.75,0.9706092436974789,1.0,1.0,1.0,0.9333333333333333,0.8571428571428571,0.9850854423534501,0.9759036144578314,0.9518072289156626,0.9939759036144579
python,EmptyTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
python,ExceptionHandling,1.0,1.0,1.0,0.9210526315789473,0.8332317073170733,1.0,0.958904109589041,0.9090303030303031,1.0,0.9819277108433735,0.9578313253012049,1.0
python,IgnoredTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
python,MagicNumberTest,0.9777777777777777,0.92852787456446,1.0,0.9565217391304348,0.8837209302325582,1.0,0.967032967032967,0.9213483146067416,1.0,0.9819277108433735,0.9578313253012049,1.0
python,RedundantPrint,1.0,1.0,1.0,0.9714285714285714,0.9047619047619048,1.0,0.9855072463768116,0.95,1.0,0.9939759036144579,0.9819277108433735,1.0
