TestSmell,Precision,Precision_CI_Lower,Precision_CI_Upper,Recall,Recall_CI_Lower,Recall_CI_Upper,F1,F1_CI_Lower,F1_CI_Upper
AssertionRoulette,0.9333333333333333,0.7775641025641028,1.0,0.19444444444444445,0.10294117647058823,0.28413149350649347,0.3218390804597701,0.18421052631578946,0.44211457848160224
ConditionalTestLogic,0.8666666666666667,0.6666666666666666,1.0,0.2826086956521739,0.153804347826087,0.4107405462184874,0.4262295081967213,0.2592293906810036,0.5676640926640926
DuplicateAssert,0.8333333333333334,0.3333333333333333,1.0,0.17857142857142858,0.038461538461538464,0.32454954954954934,0.29411764705882354,0.06896551724137931,0.48484848484848486
EmptyTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ExceptionHandling,1.0,1.0,1.0,0.15789473684210525,0.05128205128205128,0.2857142857142857,0.2727272727272727,0.0975609756097561,0.4444444444444444
IgnoredTest,1.0,0.0,1.0,0.038461538461538464,0.0,0.13636363636363635,0.07407407407407407,0.0,0.24
MagicNumberTest,0.6363636363636364,0.4116557734204794,0.8262681159420289,0.30434782608695654,0.17647058823529413,0.44682250839865617,0.4117647058823529,0.2545310245310245,0.5454545454545454
RedundantPrint,1.0,1.0,1.0,0.11428571428571428,0.02629892037786776,0.23333333333333334,0.20512820512820512,0.051250000000000025,0.3783783783783784
SleepyTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnknownTest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
