TestSmell,Precision,Precision_CI_Lower,Precision_CI_Upper,Recall,Recall_CI_Lower,Recall_CI_Upper,F1,F1_CI_Lower,F1_CI_Upper
AssertionRoulette,1.0,1.0,1.0,0.84,0.7555128205128205,0.9154929577464789,0.9130434782608695,0.8607317343992894,0.9558823529411765
ConditionalTestLogic,0.9523809523809523,0.8780487804878049,1.0,0.8888888888888888,0.7817849223946786,0.9729907539118066,0.9195402298850575,0.85,0.9709010071681335
DuplicateAssert,0.92,0.7916666666666666,1.0,0.7931034482758621,0.6428571428571429,0.9375473484848484,0.8518518518518519,0.7346598639455783,0.9444444444444444
EmptyTest,1.0,1.0,1.0,0.6818181818181818,0.47049019607843146,0.8666666666666667,0.8108108108108109,0.639909090909091,0.9285714285714286
ExceptionHandling,0.7868852459016393,0.6811304347826087,0.8852576112412178,0.9056603773584906,0.818135435992579,0.9791666666666666,0.8421052631578947,0.7647058823529411,0.9062828256302521
IgnoredTest,0.7,0.5,0.9,0.6086956521739131,0.391304347826087,0.8095238095238095,0.6511627906976745,0.45443181818181827,0.8108108108108109
MagicNumberTest,0.3049645390070922,0.23076923076923078,0.38029845741113344,0.9148936170212766,0.8292508710801394,0.980787037037037,0.4574468085106383,0.3678098788443616,0.541688829787234
RedundantPrint,1.0,1.0,1.0,0.78125,0.6363636363636364,0.9210526315789473,0.8771929824561403,0.7777777777777778,0.958904109589041
SleepyTest,1.0,1.0,1.0,0.9666666666666667,0.8888888888888888,1.0,0.9830508474576272,0.9411764705882353,1.0
UnknownTest,0.975,0.918918918918919,1.0,0.8125,0.6923076923076923,0.9149379432624113,0.8863636363636364,0.8045914542728636,0.946236559139785
