filename,AssertionRoulette,ConditionalTestLogic,DuplicateAssert,EmptyTest,ExceptionHandling,IgnoredTest,MagicNumberTest,RedundantPrint,SleepyTest,UnknownTest
TestSmell001.cs,1,0,0,0,0,0,1,0,0,0
TestSmell002.cs,1,0,0,0,0,0,0,0,0,0
TestSmell003.cs,1,0,0,0,0,0,0,0,1,0
TestSmell004.cs,1,1,0,0,0,0,1,0,0,0
TestSmell005.cs,1,0,0,0,0,0,0,0,0,0
TestSmell006.cs,1,0,0,0,0,0,0,0,1,0
TestSmell007.cs,1,0,1,0,0,0,0,0,0,0
TestSmell008.cs,1,0,1,0,1,1,0,1,0,0
TestSmell009.cs,1,0,0,0,0,0,0,0,0,0
TestSmell010.cs,1,0,0,0,1,0,1,0,1,0
TestSmell011.cs,0,1,0,0,0,0,0,0,0,0
TestSmell012.cs,1,1,0,0,0,0,1,1,0,0
TestSmell013.cs,0,1,0,0,0,0,0,0,0,0
TestSmell014.cs,0,1,0,0,1,0,0,1,0,0
TestSmell015.cs,0,1,0,0,0,0,1,0,0,0
TestSmell016.cs,0,1,0,0,1,0,0,1,1,1
TestSmell017.cs,1,1,0,0,0,0,1,0,0,0
TestSmell018.cs,1,1,0,0,1,0,0,0,0,0
TestSmell019.cs,0,1,0,0,1,0,0,0,1,0
TestSmell020.cs,1,0,1,0,0,1,1,0,0,0
TestSmell021.cs,1,1,1,0,0,0,1,0,0,0
TestSmell022.cs,1,1,1,0,0,0,0,1,0,0
TestSmell023.cs,1,0,1,0,0,0,1,0,0,0
TestSmell024.cs,1,0,1,0,1,1,0,1,0,0
TestSmell025.cs,1,0,1,0,1,0,1,1,0,0
TestSmell026.cs,1,0,1,0,0,0,0,0,0,0
TestSmell027.cs,0,0,1,0,0,0,0,0,0,0
TestSmell028.cs,1,0,1,0,0,0,0,0,0,0
TestSmell029.cs,1,0,1,0,0,0,0,0,0,0
TestSmell030.cs,0,0,0,1,0,0,0,0,0,1
TestSmell031.cs,0,0,0,1,0,0,0,0,0,1
TestSmell032.cs,0,0,0,1,0,0,0,0,0,1
TestSmell033.cs,0,0,0,1,0,0,0,0,0,1
TestSmell034.cs,0,0,0,1,0,0,0,0,0,1
TestSmell035.cs,0,0,0,1,0,0,0,0,0,1
TestSmell036.cs,0,0,0,1,0,1,0,0,0,1
TestSmell037.cs,0,0,0,1,0,0,0,0,0,1
TestSmell038.cs,0,0,0,1,0,0,0,0,0,1
TestSmell039.cs,0,0,0,1,0,0,0,0,0,1
TestSmell040.cs,0,0,0,0,1,0,1,1,0,0
TestSmell041.cs,0,1,0,0,1,0,0,1,0,1
TestSmell042.cs,1,0,1,0,1,0,0,1,0,0
TestSmell043.cs,1,0,1,0,1,0,0,0,1,0
TestSmell044.cs,1,0,1,0,1,1,0,1,0,0
TestSmell045.cs,1,0,0,0,1,0,1,0,1,0
TestSmell046.cs,0,1,0,0,1,0,0,0,0,0
TestSmell047.cs,1,0,0,0,1,0,0,0,0,0
TestSmell048.cs,0,1,0,0,1,0,0,0,1,0
TestSmell049.cs,0,0,0,0,0,1,0,0,0,0
TestSmell050.cs,0,0,0,0,0,1,0,0,0,0
TestSmell051.cs,0,0,0,0,0,1,0,0,0,1
TestSmell052.cs,0,0,0,0,0,1,0,0,0,0
TestSmell053.cs,0,0,0,0,0,1,0,0,0,1
TestSmell054.cs,1,0,1,0,0,1,1,0,0,0
TestSmell055.cs,1,0,0,0,0,1,1,0,0,0
TestSmell056.cs,0,0,0,0,0,1,0,0,0,1
TestSmell057.cs,0,0,0,0,0,0,1,0,0,0
TestSmell058.cs,1,0,0,0,1,0,1,0,1,0
TestSmell059.cs,1,0,0,0,0,0,1,0,0,0
TestSmell060.cs,0,0,0,0,0,0,1,0,0,0
TestSmell061.cs,0,0,0,0,0,0,1,0,0,0
TestSmell062.cs,0,0,0,0,0,0,1,0,0,0
TestSmell063.cs,0,0,0,0,0,0,1,0,0,0
TestSmell064.cs,1,0,0,0,0,0,1,0,0,0
TestSmell065.cs,0,0,0,0,0,0,0,1,0,0
TestSmell066.cs,0,0,0,0,0,1,0,1,0,0
TestSmell067.cs,0,0,0,0,0,0,0,1,0,0
TestSmell068.cs,1,1,0,0,0,0,0,1,0,0
TestSmell069.cs,0,0,0,0,0,0,1,1,1,0
TestSmell070.cs,0,1,0,0,1,0,0,1,0,0
TestSmell071.cs,1,1,0,0,1,0,0,0,1,0
TestSmell072.cs,1,0,0,0,0,0,0,0,1,0
TestSmell073.cs,0,1,1,0,1,0,0,0,1,0
TestSmell074.cs,0,0,0,0,1,0,0,1,1,1
TestSmell075.cs,0,0,0,0,0,0,1,1,1,0
TestSmell076.cs,0,0,0,0,0,0,0,0,1,0
TestSmell077.cs,0,0,0,0,1,0,0,1,1,1
TestSmell078.cs,0,1,0,0,1,0,0,0,1,1
TestSmell079.cs,0,0,0,0,0,0,0,0,0,1
TestSmell080.cs,0,0,0,1,0,0,0,0,0,1
