filename,AssertionRoulette,ConditionalTestLogic,DuplicateAssert,EmptyTest,ExceptionHandling,IgnoredTest,MagicNumberTest,RedundantPrint,SleepyTest,UnknownTest
test_smell_001.test.js,1,0,0,0,0,0,1,0,0,0
test_smell_002.test.js,1,0,0,0,0,0,0,0,0,0
test_smell_003.test.js,1,0,0,0,0,0,0,0,1,0
test_smell_004.test.js,1,1,0,0,0,0,1,0,0,0
test_smell_005.test.js,1,0,0,0,0,0,0,0,0,0
test_smell_006.test.js,1,0,0,0,0,0,0,0,1,0
test_smell_007.test.js,1,0,1,0,0,0,0,0,0,0
test_smell_008.test.js,1,1,1,0,1,1,0,1,0,0
test_smell_009.test.js,1,0,0,0,0,0,0,0,0,0
test_smell_010.test.js,1,0,0,0,1,0,1,0,1,0
test_smell_011.test.js,0,1,0,0,0,0,0,0,0,0
test_smell_012.test.js,1,1,0,0,0,0,1,1,0,0
test_smell_013.test.js,0,1,0,0,0,0,0,0,0,0
test_smell_014.test.js,0,1,0,0,1,0,0,1,0,0
test_smell_015.test.js,0,1,0,0,0,0,1,0,0,0
test_smell_016.test.js,0,1,0,0,1,0,0,1,1,1
test_smell_017.test.js,1,1,0,0,0,0,1,0,0,0
test_smell_018.test.js,1,1,0,0,1,0,1,0,0,0
test_smell_019.test.js,0,1,0,0,1,0,0,0,1,1
test_smell_020.test.js,1,0,1,0,0,1,1,0,0,0
test_smell_021.test.js,1,1,1,0,0,0,1,0,0,0
test_smell_022.test.js,1,1,1,0,0,0,0,1,0,0
test_smell_023.test.js,1,0,1,0,0,0,1,0,0,0
test_smell_024.test.js,1,1,1,0,1,1,0,1,0,0
test_smell_025.test.js,1,0,1,0,1,0,1,1,0,0
test_smell_026.test.js,1,0,1,0,0,0,0,0,0,0
test_smell_027.test.js,1,0,1,0,0,0,0,0,0,0
test_smell_028.test.js,1,0,1,0,0,0,0,0,0,0
test_smell_029.test.js,1,0,1,0,0,0,0,0,0,0
test_smell_030.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_031.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_032.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_033.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_034.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_035.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_036.test.js,0,0,0,1,0,1,0,0,0,1
test_smell_037.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_038.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_039.test.js,0,0,0,1,0,0,0,0,0,1
test_smell_040.test.js,0,0,0,0,1,0,1,0,0,0
test_smell_041.test.js,0,1,0,0,1,0,0,1,0,1
test_smell_042.test.js,1,0,1,0,1,0,0,1,0,0
test_smell_043.test.js,1,0,1,0,1,0,0,0,1,0
test_smell_044.test.js,0,0,0,0,1,1,0,1,0,0
test_smell_045.test.js,1,0,0,0,1,0,1,0,1,0
test_smell_046.test.js,0,1,0,0,1,0,0,0,0,0
test_smell_047.test.js,1,0,0,0,1,0,0,0,0,0
test_smell_048.test.js,0,1,0,0,1,0,0,0,1,1
test_smell_049.test.js,0,0,0,0,0,1,0,0,0,0
test_smell_050.test.js,0,0,0,0,1,1,0,0,0,1
test_smell_051.test.js,0,0,0,0,0,1,0,0,0,1
test_smell_052.test.js,0,0,0,0,0,1,0,0,0,0
test_smell_053.test.js,0,0,0,0,0,1,0,0,0,1
test_smell_054.test.js,1,0,1,0,0,1,1,0,1,0
test_smell_055.test.js,1,0,0,0,0,1,1,0,0,0
test_smell_056.test.js,0,0,0,0,0,1,0,0,0,1
test_smell_057.test.js,0,0,0,0,0,0,1,0,0,0
test_smell_058.test.js,1,0,0,0,1,0,1,0,1,0
test_smell_059.test.js,1,0,0,0,0,0,1,0,0,0
test_smell_060.test.js,0,0,0,0,0,0,1,0,0,0
test_smell_061.test.js,0,0,0,0,0,0,1,0,0,0
test_smell_062.test.js,0,0,0,0,0,0,1,0,0,0
test_smell_063.test.js,0,0,0,0,0,0,1,0,0,0
test_smell_064.test.js,1,0,0,0,0,0,1,0,0,0
test_smell_065.test.js,1,0,0,0,0,0,0,1,0,0
test_smell_066.test.js,0,0,0,0,0,1,0,1,0,0
test_smell_067.test.js,0,0,0,0,1,0,0,1,0,1
test_smell_068.test.js,1,1,0,0,0,0,0,1,0,0
test_smell_069.test.js,0,0,0,0,0,0,1,1,1,0
