filename,AssertionRoulette,ConditionalTestLogic,DuplicateAssert,EmptyTest,ExceptionHandling,IgnoredTest,MagicNumberTest,RedundantPrint,SleepyTest,UnknownTest
test_smell_001.py,1,0,0,0,0,0,1,0,0,0
test_smell_002.py,1,0,0,0,0,0,0,0,0,0
test_smell_003.py,1,0,0,0,0,0,0,0,1,0
test_smell_004.py,1,1,0,0,0,0,1,0,0,0
test_smell_005.py,1,0,0,0,0,0,0,0,0,0
test_smell_006.py,1,0,0,0,0,0,0,0,1,0
test_smell_007.py,1,0,1,0,0,0,0,0,0,0
test_smell_008.py,1,0,1,0,1,1,0,1,0,0
test_smell_009.py,1,0,0,0,0,0,0,0,0,0
test_smell_010.py,1,0,0,0,1,0,1,0,1,0
test_smell_011.py,0,1,0,0,0,0,0,0,0,0
test_smell_012.py,1,1,0,0,0,0,1,1,0,0
test_smell_013.py,0,1,0,0,1,0,0,0,0,0
test_smell_014.py,0,1,0,0,1,0,0,1,0,0
test_smell_015.py,0,1,0,0,0,0,1,0,0,0
test_smell_016.py,0,1,0,0,0,0,0,1,1,1
test_smell_017.py,1,1,0,0,0,0,1,0,0,0
test_smell_018.py,1,1,0,0,1,0,1,0,0,0
test_smell_019.py,1,1,0,0,1,0,0,0,1,0
test_smell_020.py,1,0,1,0,0,1,1,0,0,0
test_smell_021.py,1,1,1,0,0,0,1,0,0,0
test_smell_022.py,1,1,1,0,0,0,0,1,0,0
test_smell_023.py,1,0,1,0,0,0,1,0,0,0
test_smell_024.py,1,0,1,0,1,1,0,1,0,0
test_smell_025.py,1,0,1,0,1,0,1,1,0,0
test_smell_026.py,1,0,1,0,0,0,0,0,0,0
test_smell_027.py,1,0,1,0,0,0,0,0,0,0
test_smell_028.py,1,0,1,0,0,0,0,0,0,0
test_smell_029.py,1,0,1,0,0,0,0,0,0,0
test_smell_030.py,0,0,0,1,0,0,0,0,0,1
test_smell_031.py,0,0,0,1,0,0,0,0,0,1
test_smell_032.py,0,0,0,1,0,0,0,0,0,1
test_smell_033.py,0,0,0,1,0,0,0,0,0,1
test_smell_034.py,0,0,0,1,0,0,0,0,0,1
test_smell_035.py,0,0,0,1,0,0,0,0,0,1
test_smell_036.py,0,0,0,1,0,1,0,0,0,1
test_smell_037.py,0,0,0,1,0,0,0,0,0,1
test_smell_038.py,0,0,0,1,0,0,0,0,0,1
test_smell_039.py,0,0,0,1,0,0,0,0,0,1
test_smell_040.py,0,0,0,0,1,0,1,1,0,0
test_smell_041.py,0,1,0,0,1,0,0,1,0,1
test_smell_042.py,1,0,1,0,1,0,0,1,0,0
test_smell_043.py,1,0,1,0,1,0,0,0,1,0
test_smell_044.py,1,0,1,0,1,1,0,1,0,0
test_smell_045.py,1,0,0,0,1,0,1,0,1,0
test_smell_046.py,0,1,0,0,1,0,0,0,0,0
test_smell_047.py,1,0,0,0,1,0,0,0,0,0
test_smell_048.py,0,1,0,0,1,0,0,0,1,0
test_smell_049.py,0,0,0,0,0,1,0,0,0,0
test_smell_050.py,0,0,0,0,0,1,0,0,0,0
test_smell_051.py,0,0,0,0,0,1,0,0,0,1
test_smell_052.py,0,0,0,0,0,1,0,0,0,0
test_smell_053.py,0,0,0,0,0,1,0,0,0,1
test_smell_054.py,1,0,1,0,0,1,1,0,0,0
test_smell_055.py,1,0,0,0,0,1,1,0,0,0
test_smell_056.py,0,0,0,0,0,1,0,0,0,1
test_smell_057.py,0,0,0,0,0,0,1,0,0,0
test_smell_058.py,1,0,0,0,1,0,1,0,1,0
test_smell_059.py,1,0,0,0,0,0,1,0,0,0
test_smell_060.py,0,0,0,0,0,0,1,0,0,0
test_smell_061.py,0,0,0,0,0,0,1,0,0,0
test_smell_062.py,0,0,0,0,0,0,1,0,0,0
test_smell_063.py,0,0,0,0,0,0,1,0,0,0
test_smell_064.py,0,0,0,0,0,0,1,0,0,0
test_smell_065.py,1,0,0,0,0,0,0,1,0,0
test_smell_066.py,0,0,0,0,0,1,0,1,0,0
test_smell_067.py,0,0,0,0,0,0,0,1,0,0
test_smell_068.py,1,1,0,0,0,0,0,1,0,0
test_smell_069.py,0,0,0,0,0,0,1,1,1,0
test_smell_070.py,0,1,0,0,1,0,0,1,0,0
test_smell_071.py,1,1,0,0,1,0,0,0,1,0
test_smell_072.py,1,0,0,0,0,0,0,0,1,0
test_smell_073.py,0,1,1,0,1,0,0,0,1,0
test_smell_074.py,0,0,0,0,1,0,0,1,1,1
test_smell_075.py,0,0,0,0,0,0,1,1,1,0
test_smell_076.py,0,0,0,0,0,0,0,0,1,0
