test_suite,test_name,smell,metric_value
python\test_smell_085.py,test_smell_085,Duplicate Assert,3
python\test_smell_105.py,test_smell_105,Duplicate Assert,2
python\test_smell_106.py,test_smell_106,Duplicate Assert,2
python\test_smell_107.py,test_smell_107,Duplicate Assert,6
python\test_smell_111.py,test_smell_111,Duplicate Assert,5
python\test_smell_127.py,test_smell_127,Duplicate Assert,2
python\test_smell_093.py,test_smell_093,Eager Test,2
python\test_smell_127.py,test_smell_127,Eager Test,4
python\test_smell_153.py,test_smell_153,Eager Test,2
python\test_smell_090.py,test_smell_090,Conditional Logic,1
python\test_smell_092.py,test_smell_092,Conditional Logic,1
python\test_smell_096.py,test_smell_096,Conditional Logic,3
python\test_smell_097.py,test_smell_097,Conditional Logic,2
python\test_smell_099.py,test_smell_099,Conditional Logic,2
python\test_smell_102.py,test_smell_102,Conditional Logic,1
python\test_smell_104.py,test_smell_104,Conditional Logic,1
python\test_smell_105.py,test_smell_105,Conditional Logic,2
python\test_smell_107.py,test_smell_107,Conditional Logic,2
python\test_smell_125.py,test_smell_125,Conditional Logic,2
python\test_smell_129.py,test_smell_129,Conditional Logic,1
python\test_smell_135.py,test_smell_135,Conditional Logic,1
python\test_smell_152.py,test_smell_152,Conditional Logic,1
python\test_smell_157.py,test_smell_157,Conditional Logic,2
python\test_smell_160.py,test_smell_160,Conditional Logic,1
python\test_smell_106.py,test_smell_106,Exception Handling,1
python\test_smell_111.py,test_smell_111,Exception Handling,2
python\test_smell_124.py,test_smell_124,Exception Handling,1
python\test_smell_126.py,test_smell_126,Exception Handling,1
python\test_smell_127.py,test_smell_127,Exception Handling,1
python\test_smell_129.py,test_smell_129,Exception Handling,1
python\test_smell_145.py,test_smell_145,Redundant Print,1
python\test_smell_147.py,test_smell_147,Redundant Print,1
python\test_smell_152.py,test_smell_152,Redundant Print,10
python\test_smell_159.py,test_smell_159,Redundant Print,1
python\test_smell_134.py,test_smell_134,Ignored Test,1
python\test_smell_112.py,test_smell_112,Unknown Test,0
python\test_smell_113.py,test_smell_113,Unknown Test,0
python\test_smell_114.py,test_smell_114,Unknown Test,0
python\test_smell_115.py,test_smell_115,Unknown Test,0
python\test_smell_116.py,test_smell_116,Unknown Test,0
python\test_smell_117.py,test_smell_117,Unknown Test,0
python\test_smell_119.py,test_smell_119,Unknown Test,0
python\test_smell_120.py,test_smell_120,Unknown Test,0
python\test_smell_125.py,test_smell_125,Unknown Test,0
python\test_smell_135.py,test_smell_135,Unknown Test,0
python\test_smell_159.py,test_smell_159,Unknown Test,0
python\test_smell_160.py,test_smell_160,Unknown Test,0
python\test_smell_162.py,test_smell_162,Unknown Test,0
python\test_smell_166.py,test_smell_166,Unknown Test,0
python\test_smell_085.py,test_smell_085,Magic Number,1
python\test_smell_087.py,test_smell_087,Magic Number,2
python\test_smell_092.py,test_smell_092,Magic Number,2
python\test_smell_093.py,test_smell_093,Magic Number,4
python\test_smell_094.py,test_smell_094,Magic Number,3
python\test_smell_097.py,test_smell_097,Magic Number,2
python\test_smell_099.py,test_smell_099,Magic Number,1
python\test_smell_105.py,test_smell_105,Magic Number,9
python\test_smell_106.py,test_smell_106,Magic Number,12
python\test_smell_107.py,test_smell_107,Magic Number,12
python\test_smell_111.py,test_smell_111,Magic Number,2
python\test_smell_129.py,test_smell_129,Magic Number,2
python\test_smell_134.py,test_smell_134,Magic Number,1
python\test_smell_136.py,test_smell_136,Magic Number,1
python\test_smell_138.py,test_smell_138,Magic Number,1
python\test_smell_139.py,test_smell_139,Magic Number,1
python\test_smell_142.py,test_smell_142,Magic Number,3
python\test_smell_143.py,test_smell_143,Magic Number,1
python\test_smell_145.py,test_smell_145,Magic Number,1
python\test_smell_147.py,test_smell_147,Magic Number,1
python\test_smell_153.py,test_smell_153,Magic Number,3
python\test_smell_157.py,test_smell_157,Magic Number,1
python\test_smell_085.py,test_smell_085,Assertion Roullete,7
python\test_smell_087.py,test_smell_087,Assertion Roullete,2
python\test_smell_090.py,test_smell_090,Assertion Roullete,2
python\test_smell_092.py,test_smell_092,Assertion Roullete,3
python\test_smell_093.py,test_smell_093,Assertion Roullete,6
python\test_smell_094.py,test_smell_094,Assertion Roullete,3
python\test_smell_096.py,test_smell_096,Assertion Roullete,2
python\test_smell_104.py,test_smell_104,Assertion Roullete,2
python\test_smell_105.py,test_smell_105,Assertion Roullete,9
python\test_smell_106.py,test_smell_106,Assertion Roullete,14
python\test_smell_107.py,test_smell_107,Assertion Roullete,12
python\test_smell_111.py,test_smell_111,Assertion Roullete,9
python\test_smell_129.py,test_smell_129,Assertion Roullete,4
python\test_smell_142.py,test_smell_142,Assertion Roullete,2
python\test_smell_153.py,test_smell_153,Assertion Roullete,4
